TEAM,W,L,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
American,15,11,24.15,54.88,0.44,18.81,37.38,0.50,5.35,17.50,0.30,14.27,20.77,0.68,67.92,8.00,23.15,31.15,11.77,5.96,3.19,13.58,16.00
Lehigh,8,19,26.41,57.52,0.46,18.37,33.67,0.55,8.04,23.85,0.35,13.70,18.89,0.72,74.56,7.74,22.89,30.63,14.63,6.96,3.48,11.07,15.67
Coppin St.,10,16,26.19,63.50,0.41,17.65,38.00,0.47,8.54,25.50,0.34,12.08,17.65,0.67,73.00,10.19,28.31,38.50,15.04,6.69,2.65,13.96,17.00
Howard,4,24,29.00,62.82,0.46,20.89,39.46,0.53,8.11,23.36,0.34,14.57,21.54,0.69,80.68,11.36,24.61,35.96,18.04,6.43,2.39,14.36,18.07
Maryland Eastern Shore,5,23,24.29,56.07,0.43,17.36,34.82,0.49,6.93,21.25,0.32,14.75,20.93,0.71,70.25,8.96,28.00,36.96,13.07,7.14,3.64,14.86,15.04
Morgan St.,13,14,23.04,55.67,0.41,16.30,34.41,0.48,6.74,21.26,0.31,19.15,27.26,0.70,71.96,8.19,21.07,29.26,11.63,6.81,3.33,13.96,19.59
Florida A&M,12,11,25.65,55.83,0.46,19.70,36.04,0.55,5.96,19.78,0.29,15.83,23.17,0.70,73.09,9.13,24.00,33.13,12.30,7.52,3.57,15.65,20.04
Norfolk St.,13,14,21.81,53.93,0.41,15.04,32.00,0.47,6.78,21.93,0.31,15.44,22.56,0.70,65.85,8.81,23.93,32.74,13.07,5.63,3.15,14.63,17.74
Delaware St.,6,23,27.72,60.03,0.46,19.14,35.62,0.54,8.59,24.41,0.35,18.34,25.62,0.72,82.38,9.07,27.41,36.48,15.17,7.62,3.41,14.34,18.31
North Carolina A&T,16,12,24.61,59.89,0.41,18.29,37.25,0.49,6.32,22.64,0.29,15.96,24.89,0.64,71.50,9.86,25.29,35.14,12.57,6.50,3.21,15.86,20.68
North Carolina,11,19,25.77,60.07,0.43,17.17,35.33,0.48,8.60,24.73,0.35,13.70,18.00,0.76,73.83,7.83,23.60,31.43,13.90,6.83,4.53,11.23,18.77
N.C. State,17,11,24.54,57.82,0.43,18.54,39.00,0.48,6.00,18.82,0.32,14.32,20.68,0.69,69.39,9.39,23.50,32.89,10.61,6.57,3.04,12.89,16.25
Bethune Cookman,14,12,25.54,60.15,0.43,19.62,38.81,0.51,5.92,21.35,0.27,15.62,23.19,0.68,72.62,9.81,24.69,34.50,12.77,6.92,3.00,14.23,19.46
South Carolina St.,9,16,26.52,56.76,0.47,19.88,36.76,0.55,6.64,20.00,0.33,15.32,22.88,0.66,75.00,7.92,22.00,29.92,11.96,5.24,3.24,11.60,19.60
Alabama St.,8,21,24.93,55.38,0.45,18.86,36.34,0.53,6.07,19.03,0.31,14.24,21.72,0.64,70.17,8.79,25.72,34.52,12.28,7.48,3.69,13.66,19.62
Alcorn St.,14,12,26.12,59.31,0.44,19.08,38.58,0.49,7.04,20.73,0.34,13.42,20.50,0.65,72.69,8.77,23.62,32.38,14.12,7.35,2.85,12.77,17.00
